address,balance_planck,balance_xcdot
0x0687db6a63ac202dabfd0ea2aecd8e42633a00a1,830971816,0.0830971816
0x068c8fd8243a4f4147517fd1aa5f1aecad2cde0c,5,0.0000000005
0x068fa0ea01d314cadd5feba86c75495e7b255ac5,17881378,0.0017881378
0x06a5662329e509d0dd6f0598e7b8b5ebab5e40b2,72389841192,7.2389841192
0x06afb08bca3f19cd7dc58e6063e9a7e6346e5dbf,381281702,0.0381281702
0x06b1f373768d2e503f5dbcb35989a8e2794673e4,2360071766,0.2360071766
0x06b3567747913e158d34115cc3d1377c6fc4d151,173429756,0.0173429756
0x06b3b3077e238d4d4599e17617bd244a0225b5e8,95787850,0.009578785
0x06b40d42b10adbea8ca0f12db1e6e1e11632eb0d,9990971816,0.9990971816
0x06b584be06ff4624b00d75eeaf2237127b99ad58,44649248065,4.4649248065
0x06b59680a701a5362c5d5c9825fea3d8f993ad58,120303000000,12.0303
0x06c74480684bbe355b54babd1a4acbeeed4c812a,555014,0.0000555014
0x06c922ab286196b558a0ef8dabd99e2b98bd4166,4,0.0000000004
0x06d709229b92ca33ff77c3bc9e3fcb66021652e4,489091,0.0000489091
0x06d995183ae2148a2183dbe902ac18f1d7a4cefa,1,0.0000000001
0x06dc32efe3393adecc014d7fb7a145e20d25e5ee,1,0.0000000001
0x06dc74b0c21537ea2fef458d57246df70cd43bb3,94279053,0.0094279053
0x06e3b143991808a504c2cc9b7f09deb100a02772,1,0.0000000001
0x06e4e4334faeac6f27857a8c988ac62224162819,10608758,0.0010608758
0x06e6fc96de94e49b771898642831f370a07e0f8d,81183383543,8.1183383543
0x06f057e4adc9a02d2ae77939bea7c9fee5d3fda3,29986114679,2.9986114679
0x06f347c279bfff7d6dcfdd5d8295cf623cbab62c,7,0.0000000007
0x06f89330bc20a623dc6fee8025c09abc31592562,1429132232,0.1429132232
0x07068b6dd18602afc8110233d1966b0e73586670,4,0.0000000004
0x070c0c3c4dd0c351bb435d88dcec551f80b977ec,920331996,0.0920331996
0x0715c3329e38790c853f6ffd824f2771a02d37bf,3701062837,0.3701062837
0x0719068c217491bd0517f78ad70f0f976709626c,1599838,0.0001599838
0x0720c8572b2dd917aef686ac9fabdd9d81dbc50a,8,0.0000000008
0x0728b5dfa020bf795def67282d19586b71f6753e,7767862,0.0007767862
0x072f7955f221c5654ca008137da89d4bb5080056,11816,0.0000011816
0x073c6ca6f67803301df7195ce684c4795a7255b8,289814772,0.0289814772
0x0743d51cf3051e4baddc1c9124a775c70151c057,14986827999,1.4986827999
0x07440c4158537c41dce7e5d665049cd4b5c8ab49,13492756,0.0013492756
0x07454c4d1d0a71f49926d68804cb6f65f2607723,54765121963,5.4765121963
0x0746c3fcd71fe2a893715707ae912a3f9a484b5d,599478,0.0000599478
0x07494efb9fc623b74b31714192826c70eba7423f,1,0.0000000001
0x074b5768a65b6d30d1a0c3219eecccbbc40ea430,599479,0.0000599479
0x07508f96b3d07aae0fe1a411de301628d9f9ffbb,100971816,0.0100971816
0x075a6b3bd60927f300f584f7fcfaa3ebb9b0921f,181943632,0.0181943632
0x07632b6786883dc3eab8ad39b30662d064529d0b,4216359901,0.4216359901
0x0767e322ce13a93deff958eae62241c81a2bacd1,2,0.0000000002
